iter	Passed	Remaining
0	3	3107
1	6	3134
2	9	3109
3	12	3193
4	16	3256
5	19	3241
6	22	3203
7	25	3210
8	30	3366
9	33	3342
10	36	3296
11	39	3288
12	43	3299
13	46	3269
14	49	3279
15	53	3266
16	56	3263
17	59	3261
18	62	3247
19	66	3270
20	70	3268
21	73	3267
22	76	3259
23	81	3305
24	84	3301
25	89	3343
26	93	3358
27	96	3360
28	100	3357
29	104	3380
30	108	3379
31	111	3378
32	115	3383
33	119	3401
34	122	3386
35	126	3386
36	129	3374
37	132	3361
38	135	3345
39	139	3336
40	142	3321
41	144	3304
42	147	3293
43	150	3278
44	154	3270
45	157	3265
46	160	3262
47	163	3251
48	166	3237
49	169	3225
50	172	3216
51	175	3204
52	178	3192
53	181	3182
54	184	3172
55	187	3164
56	190	3154
57	194	3158
58	197	3149
59	200	3140
60	203	3139
61	206	3131
62	209	3121
63	212	3111
64	215	3104
65	218	3094
66	221	3088
67	224	3078
68	227	3072
69	230	3065
70	233	3059
71	236	3051
72	240	3050
73	243	3047
74	246	3039
75	249	3038
76	252	3029
77	255	3022
78	258	3016
79	261	3009
80	264	3002
81	267	2997
82	270	2991
83	273	2984
84	277	2987
85	280	2982
86	283	2976
87	288	2986
88	291	2981
89	294	2974
90	297	2968
91	300	2965
92	303	2958
93	306	2951
94	309	2945
95	312	2939
96	315	2940
97	318	2933
98	322	2931
99	325	2926
100	328	2920
101	331	2914
102	333	2908
103	337	2903
104	340	2898
105	343	2893
106	345	2886
107	349	2884
108	352	2882
109	355	2877
110	358	2872
111	361	2867
112	364	2864
113	367	2858
114	370	2853
115	373	2848
116	376	2843
117	380	2842
118	383	2837
119	386	2837
120	389	2832
121	393	2828
122	395	2822
123	398	2817
124	402	2814
125	405	2809
126	407	2803
127	410	2797
128	413	2793
129	416	2787
130	419	2782
131	422	2779
132	425	2775
133	428	2771
134	432	2768
135	435	2764
136	438	2761
137	441	2756
138	444	2751
139	447	2746
140	449	2741
141	452	2736
142	455	2731
143	458	2727
144	462	2724
145	464	2719
146	467	2714
147	470	2709
148	473	2704
149	477	2704
150	480	2700
151	483	2695
152	486	2691
153	489	2687
154	491	2682
155	494	2677
156	497	2673
157	501	2671
158	504	2668
159	507	2663
160	510	2658
161	514	2660
162	517	2658
163	520	2653
164	523	2648
165	526	2644
166	529	2639
167	532	2636
168	535	2631
169	538	2629
170	541	2627
171	544	2622
172	547	2618
